2021-06-07 12:53:19.553 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=9&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:19.553 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:20.115 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:20.115 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:21.338 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=10&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:21.339 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:21.820 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:21.820 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:22.491 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=11&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:22.492 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:23.297 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:23.299 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
